CodigoEstacion;NombreEstacion;Latitud;Longitud;Altitud;Categoria;Entidad;AreaOperativa;Departamento;Municipio;FechaInstalacion;FechaSuspension;IdParametro;Etiqueta;Frecuencia;Fecha;Valor maximo;Valor minimo;Grado;Calificador;NivelAprobacion
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;1/06/2021 0:00;18,2;11,7;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;2/06/2021 0:00;20,6;11,2;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;3/06/2021 0:00;21,4;15,2;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;4/06/2021 0:00;20,6;15,1;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;5/06/2021 0:00;20,6;13,5;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;6/06/2021 0:00;18,2;15,7;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;7/06/2021 0:00;19;11,9;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;8/06/2021 0:00;19,8;14;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;9/06/2021 0:00;20,2;13,3;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;10/06/2021 0:00;22,2;14,3;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;11/06/2021 0:00;19,8;17,6;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;12/06/2021 0:00;20,2;10,8;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;13/06/2021 0:00;19,4;16,5;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;14/06/2021 0:00;20,2;17,6;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;15/06/2021 0:00;18,6;15,9;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;16/06/2021 0:00;19,8;12,8;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;17/06/2021 0:00;20;8,6;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;18/06/2021 0:00;20,8;17,2;50;;1100
16015020;ISER PAMPLONA [16015020];73.731.111.110;-726.450;2340;Agrometeorológica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 08 - Santanderes-Arauca;Norte De Santander;Pamplona;15/04/1972 0:00;;TEMPERATURA;TMX_CON;Diaria;19/06/2021 0:00;20;11,6;50;;1100
